商品名称,商品分类,商品品牌,cluster_kmeans,cluster_dbscan,cluster_hdbscan,tsne_x,tsne_y
阿迪达斯三叶草 男女款运动休闲跑步鞋「泡泡鞋」HI-TAIL H05767,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.60941,-11.275693
「泡泡鞋」阿迪达斯三叶草 男女经典运动鞋adidas HI-TAIL ID1127,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.309814,-44.173
阿迪达斯三叶草男女款休闲板鞋篮球鞋adidas DROP STEP XL GW6189,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.60941,-11.275693
阿迪达斯官方三叶草 男女款经典boost运动鞋adidas NMD_S1 HQ4439,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.341415,-43.549953
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0427,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.60941,-11.275693
阿迪达斯三叶草 男复古拼接宽松运动夹克adidas BLD CB TT HC4499,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.34932,18.931448
「泡泡鞋」阿迪达斯三叶草 男女经典运动鞋adidas HI-TAIL JH7363,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.341415,-43.549953
阿迪达斯官方男款运动板鞋少年感复古篮球鞋adidas ENTRAP JQ5047,运动户外-运动鞋-篮球鞋,adidas/阿迪达斯,1,-1,4,-60.920166,-8.032924
阿迪达斯三叶草男女心动白板鞋运动鞋小白鞋NY 90 STRIPES H04429,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.33629,-11.775538
「奶包鞋」阿迪达斯三叶草 雅丹风男女经典运动鞋NITEBALL ID1118,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.34134,-43.549362
阿迪达斯官方三叶草男女经典运动复古老爹鞋adidas OZELIA ID1122,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.33629,-11.775538
阿迪达斯三叶草 男女情侣款bf风纯棉运动上衣圆领短袖T恤 HC3076,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,0,-1,-1,37.356125,8.249333
阿迪达斯官方 男款休闲干练摩登篮球风运动鞋 ENTRAP FZ1119,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-64.61564,-13.688913
阿迪达斯三叶草 男女款NMD_S1舒适经典boost运动鞋 adidas HQ4435,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.34134,-43.549362
阿迪达斯三叶草 男女款潮流百搭休闲复古老爹鞋 OZWEEGO GZ5231,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.60941,-11.275693
阿迪达斯官方三叶草 女新款经典运动板鞋 adidas EXTABALL ID6072,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-87.92838,3.9607608
阿迪达斯三叶草 男女款经典运动鞋adidas EQT BASK ADV V2 ID4073,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.34134,-43.549362
「波波鞋」阿迪达斯官方男女厚底休闲老爹鞋adidas OZWAVE IE6056,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.94871,-11.605602
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JI4348,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.34134,-43.549362
「波波鞋」阿迪达斯官方男女厚底休闲老爹鞋adidas OZWAVE ID3575,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.8485,-11.555162
阿迪达斯官方三叶草 男女款经典运动鞋adidas HI-TAIL 2.0 JI4349,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.34134,-43.549362
「寻光者」阿迪达斯官方 男女款网面运动鞋 SPIRITAIN 2.0 JH8025,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.936134,-11.59145
阿迪达斯三叶草 男女款复古经典运动老爹鞋 adidas OZELIA JH7364,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.87345,-11.560563
「奶包鞋」阿迪达斯三叶草男女休闲运动鞋adidas NITEBALL ID4087,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,17.118103,0.16725148
阿迪达斯三叶草男居家运动拼接短裤adidas Tricolor Short H09358,运动户外-运动服/休闲服装-运动裤-运动中长裤／短裤,adidas/阿迪达斯,0,-1,4,27.887924,3.1940615
「恐惧鲨鱼」阿迪达斯三叶草 男女款经典老爹鞋 PROPHERE ID0543,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.87345,-11.560563
阿迪达斯官方三叶草男女休闲篮球运动板鞋adidas EXTABALL ID1133,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.87345,-11.560563
阿迪达斯三叶草男居家运动拼接短裤adidas Tricolor Short H09357,运动户外-运动服/休闲服装-运动裤-运动中长裤／短裤,adidas/阿迪达斯,0,-1,4,27.888367,3.1939895
阿迪达斯三叶草 男款保暖鸭绒羽绒服 adidas SPORTY DOWN HS9467,运动户外-运动服/休闲服装-运动羽绒服,adidas/阿迪达斯,0,-1,4,31.973343,5.3112917
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL ID4088,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.87345,-11.560563
阿迪达斯官方 轻运动男款休闲跑步运动鞋 adidas OZELLE GX6762,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.60941,-11.275693
阿迪达斯三叶草 男女款复古经典运动老爹鞋 adidas OZELIA JH7366,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.70035,-10.991566
